@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
662,1.732051,1.732051,1,cluster1
663,1.732051,0,1,cluster0
664,1.732051,1.732051,1,cluster1
665,1.732051,1.732051,1,cluster1
666,0,0,0,cluster0
667,1.732051,0,1,cluster0
668,0,0,0,cluster0
669,1.732051,0,1,cluster0
670,1.732051,1.732051,1,cluster1
671,3.464102,1.732051,1,cluster1
672,0,0,1,cluster0
673,0,0,1,cluster0
674,0,0,1,cluster0
675,1.732051,0,1,cluster0
676,1.732051,1.732051,1,cluster1
677,0,0,1,cluster0
678,0,0,1,cluster0
679,1.732051,0,1,cluster0
680,1.732051,1.732051,0,cluster1
681,1.732051,1.732051,1,cluster1
682,1.732051,0,1,cluster0
683,0,0,1,cluster0
684,1.732051,0,1,cluster0
685,1.732051,1.732051,1,cluster1
686,1.732051,1.732051,1,cluster1
687,0,0,1,cluster0
688,1.732051,1.732051,0,cluster1
689,0,0,1,cluster0
690,0,0,1,cluster0
691,1.732051,0,1,cluster0
692,0,0,1,cluster0
693,1.732051,0,1,cluster0
694,1.732051,0,0,cluster0
695,1.732051,1.732051,1,cluster1
696,0,0,1,cluster0
697,1.732051,0,1,cluster0
698,1.732051,0,1,cluster0
699,1.732051,0,0,cluster0
700,1.732051,0,1,cluster0
701,0,0,1,cluster0
702,0,0,1,cluster0
703,0,0,1,cluster0
704,1.732051,0,1,cluster0
705,1.732051,0,1,cluster0
706,3.464102,1.732051,0,cluster1
707,3.464102,1.732051,1,cluster1
708,1.732051,0,1,cluster0
709,1.732051,0,1,cluster0
710,1.732051,1.732051,0,cluster1
711,1.732051,0,1,cluster0
712,1.732051,0,0,cluster0
713,1.732051,0,1,cluster0
714,0,0,1,cluster0
715,0,0,1,cluster0
716,0,0,1,cluster0
717,0,0,0,cluster0
718,1.732051,1.732051,0,cluster1
719,0,0,1,cluster0
720,1.732051,0,1,cluster0
721,0,0,1,cluster0
722,1.732051,0,1,cluster0
723,0,0,1,cluster0
724,1.732051,0,1,cluster0
725,0,0,1,cluster0
726,0,0,1,cluster0
727,0,0,1,cluster0
728,1.732051,1.732051,1,cluster1
729,0,0,1,cluster0
730,0,0,1,cluster0
731,1.732051,1.732051,0,cluster1
732,0,0,0,cluster0
733,1.732051,1.732051,1,cluster1
734,0,0,1,cluster0
735,1.732051,1.732051,1,cluster1
736,0,0,0,cluster0
737,1.732051,0,1,cluster0
738,1.732051,0,1,cluster0
739,0,0,1,cluster0
740,1.732051,0,1,cluster0
741,1.732051,1.732051,0,cluster1
742,1.732051,1.732051,1,cluster1
743,0,0,1,cluster0
744,0,0,1,cluster0
745,0,0,0,cluster0
746,0,0,1,cluster0
747,1.732051,1.732051,1,cluster1
748,0,0,1,cluster0
749,0,0,1,cluster0
750,0,0,1,cluster0
751,1.732051,0,1,cluster0
752,0,0,1,cluster0
753,1.732051,1.732051,1,cluster1
754,0,0,1,cluster0
755,0,0,1,cluster0
756,1.732051,0,0,cluster0
757,0,0,1,cluster0
758,0,0,1,cluster0
759,1.732051,0,1,cluster0
760,0,0,1,cluster0
761,3.464102,1.732051,1,cluster1
762,1.732051,0,1,cluster0
763,1.732051,0,1,cluster0
764,1.732051,0,1,cluster0
765,1.732051,0,1,cluster0
766,1.732051,0,0,cluster0
767,0,0,0,cluster0
768,0,0,0,cluster0
769,0,0,1,cluster0
770,0,0,0,cluster0
771,0,0,0,cluster0
772,3.464102,1.732051,1,cluster1
773,0,0,1,cluster0
774,1.732051,0,1,cluster0
775,3.464102,1.732051,1,cluster1
776,1.732051,0,1,cluster0
777,1.732051,0,1,cluster0
778,1.732051,0,1,cluster0
779,0,0,1,cluster0
780,1.732051,0,1,cluster0
781,1.732051,1.732051,1,cluster1
782,3.464102,1.732051,1,cluster1
783,0,0,1,cluster0
784,0,0,1,cluster0
785,1.732051,1.732051,0,cluster1
786,1.732051,1.732051,1,cluster1
787,1.732051,1.732051,1,cluster1
788,0,0,1,cluster0
789,1.732051,1.732051,1,cluster1
790,1.732051,0,1,cluster0
791,1.732051,1.732051,0,cluster1
792,1.732051,1.732051,0,cluster1
793,1.732051,0,1,cluster0
794,0,0,1,cluster0
795,1.732051,0,1,cluster0
796,0,0,1,cluster0
797,1.732051,0,1,cluster0
798,0,0,0,cluster0
799,1.732051,0,1,cluster0
800,1.732051,0,1,cluster0
801,0,0,1,cluster0
802,0,0,1,cluster0
803,1.732051,1.732051,1,cluster1
804,0,0,1,cluster0
805,1.732051,1.732051,1,cluster1
806,1.732051,1.732051,1,cluster1
807,0,0,1,cluster0
808,0,0,1,cluster0
809,1.732051,0,1,cluster0
810,1.732051,0,1,cluster0
811,0,0,1,cluster0
812,0,0,1,cluster0
813,1.732051,1.732051,1,cluster1
814,0,0,0,cluster0
815,0,0,1,cluster0
816,0,0,1,cluster0
817,1.732051,0,0,cluster0
818,0,0,1,cluster0
819,0,0,1,cluster0
820,0,0,1,cluster0
821,0,0,1,cluster0
822,0,0,1,cluster0
823,1.732051,1.732051,1,cluster1
824,0,0,1,cluster0
825,0,0,1,cluster0
826,0,0,1,cluster0
827,0,0,1,cluster0
828,0,0,1,cluster0
829,0,0,1,cluster0
830,1.732051,0,1,cluster0
831,0,0,1,cluster0
832,0,0,1,cluster0
833,0,0,0,cluster0
